Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.09     0.00     3863     0.00     0.00  Node::Node()
  0.00      0.09     0.00     3863     0.00     0.00  Board::setTokenOnCell(position, Token)
  0.00      0.09     0.00     3863     0.00     0.00  __gnu_cxx::new_allocator<Node*>::new_allocator()
  0.00      0.09     0.00     3863     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Node*> >::_S_select_on_copy(std::allocator<Node*> const&)
  0.00      0.09     0.00     3863     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::end() const
  0.00      0.09     0.00     3863     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::begin() const
  0.00      0.09     0.00     3863     0.00     0.00  std::allocator<Node*>::allocator()
  0.00      0.09     0.00     3863     0.00     0.00  Node** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<Node*>(Node* const*, Node* const*, Node**)
  0.00      0.09     0.00     3863     0.00     0.00  std::_Vector_base<Node*, std::allocator<Node*> >::_Vector_impl::_Vector_impl(std::allocator<Node*> const&)
  0.00      0.09     0.00     3863     0.00     0.00  std::_Vector_base<Node*, std::allocator<Node*> >::_Vector_impl::_Vector_impl()
  0.00      0.09     0.00     3863     0.00     0.00  std::_Vector_base<Node*, std::allocator<Node*> >::_M_create_storage(unsigned long)
  0.00      0.09     0.00     3863     0.00     0.00  std::_Vector_base<Node*, std::allocator<Node*> >::_Vector_base()
  0.00      0.09     0.00     3863     0.00     0.00  std::_Vector_base<Node*, std::allocator<Node*> >::_Vector_base(unsigned long, std::allocator<Node*> const&)
  0.00      0.09     0.00     3863     0.00     0.00  std::allocator_traits<std::allocator<Node*> >::select_on_container_copy_construction(std::allocator<Node*> const&)
  0.00      0.09     0.00     3863     0.00     0.00  Node** std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >, Node**>(__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >, __gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >, Node**)
  0.00      0.09     0.00     3863     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::vector()
  0.00      0.09     0.00     3863     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::vector(std::vector<Node*, std::allocator<Node*> > const&)
  0.00      0.09     0.00     3863     0.00     0.00  Node** std::__copy_move_a<false, Node* const*, Node**>(Node* const*, Node* const*, Node**)
  0.00      0.09     0.00     3863     0.00     0.00  Node** std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >, Node**>(__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >, __gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >, Node**)
  0.00      0.09     0.00     3863     0.00     0.00  Node** std::uninitialized_copy<__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >, Node**>(__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >, __gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >, Node**)
  0.00      0.09     0.00     3863     0.00     0.00  Node** std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >, Node**, Node*>(__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >, __gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >, Node**, std::allocator<Node*>&)
  0.00      0.09     0.00     3863     0.00     0.00  Node** std::copy<__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >, Node**>(__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >, __gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >, Node**)
  0.00      0.09     0.00     3826     0.00     0.00  Game::getDirectionFromInteger(int)
  0.00      0.09     0.00     3826     0.00     0.00  Game::moveNew(Useraction)
  0.00      0.09     0.00     3826     0.00     0.00  Node::createNode(Useraction)
  0.00      0.09     0.00     3826     0.00     0.00  Node::setUseraction(Useraction)
  0.00      0.09     0.00     3826     0.00     0.00  _ZN9__gnu_cxx13new_allocatorI10UseractionE9constructIS1_IRKS1_EEEvPT_DpOT0_
  0.00      0.09     0.00     3826     0.00     0.00  _ZN9__gnu_cxx13new_allocatorIP4NodeE9constructIS2_IRKS2_EEEvPT_DpOT0_
  0.00      0.09     0.00     3826     0.00     0.00  _ZNSt16allocator_traitsISaI10UseractionEE9constructIS0_IRKS0_EEEvRS1_PT_DpOT0_
  0.00      0.09     0.00     3826     0.00     0.00  _ZNSt16allocator_traitsISaIP4NodeEE9constructIS1_IRKS1_EEEvRS2_PT_DpOT0_
  0.00      0.09     0.00     3826     0.00     0.00  std::vector<Useraction, std::allocator<Useraction> >::push_back(Useraction const&)
  0.00      0.09     0.00     3826     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::push_back(Node* const&)
  0.00      0.09     0.00     3598     0.00     0.00  std::_Vector_base<Useraction, std::allocator<Useraction> >::_M_get_Tp_allocator() const
  0.00      0.09     0.00     3598     0.00     0.00  std::move_iterator<Useraction*>::base() const
  0.00      0.09     0.00     3598     0.00     0.00  std::move_iterator<Node**>::base() const
  0.00      0.09     0.00     3598     0.00     0.00  std::vector<Useraction, std::allocator<Useraction> >::max_size() const
  0.00      0.09     0.00     3598     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::max_size() const
  0.00      0.09     0.00     3598     0.00     0.00  std::_Iter_base<std::move_iterator<Useraction*>, true>::_S_base(std::move_iterator<Useraction*>)
  0.00      0.09     0.00     3598     0.00     0.00  std::_Iter_base<std::move_iterator<Node**>, true>::_S_base(std::move_iterator<Node**>)
  0.00      0.09     0.00     3598     0.00     0.00  std::move_iterator<Useraction*>::move_iterator(Useraction*)
  0.00      0.09     0.00     3598     0.00     0.00  std::move_iterator<Node**>::move_iterator(Node**)
  0.00      0.09     0.00     3598     0.00     0.00  std::allocator_traits<std::allocator<Useraction> >::max_size(std::allocator<Useraction> const&)
  0.00      0.09     0.00     3598     0.00     0.00  std::allocator_traits<std::allocator<Node*> >::max_size(std::allocator<Node*> const&)
  0.00      0.09     0.00     3598     0.00     0.00  std::_Miter_base<std::move_iterator<Useraction*> >::iterator_type std::__miter_base<std::move_iterator<Useraction*> >(std::move_iterator<Useraction*>)
  0.00      0.09     0.00     3598     0.00     0.00  std::_Miter_base<std::move_iterator<Node**> >::iterator_type std::__miter_base<std::move_iterator<Node**> >(std::move_iterator<Node**>)
  0.00      0.09     0.00     3598     0.00     0.00  std::move_iterator<Useraction*> std::__make_move_if_noexcept_iterator<Useraction*, std::move_iterator<Useraction*> >(Useraction*)
  0.00      0.09     0.00     3598     0.00     0.00  std::move_iterator<Node**> std::__make_move_if_noexcept_iterator<Node**, std::move_iterator<Node**> >(Node**)
  0.00      0.09     0.00     3230     0.00     0.00  Game::heuristik1(Team, Board)
  0.00      0.09     0.00     3230     0.00     0.00  Game::heuristik2(Team, Board)
  0.00      0.09     0.00     3230     0.00     0.00  Game::heuristik3(Team, Board)
  0.00      0.09     0.00     3230     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.09     0.00     3230     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.09     0.00     3230     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.09     0.00     3230     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.09     0.00     3230     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      0.09     0.00     3230     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.09     0.00     3230     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      0.09     0.00     3230     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.09     0.00     3230     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      0.09     0.00     3230     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      0.09     0.00     3230     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00      0.09     0.00     3230     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
